Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
Female,37,Yes,0,2,55,Offer B,Yes,5.08,Yes,Yes,Fiber Optic,9.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,0.0,0,279.4,5239.0
Female,62,Yes,0,2,72,Offer A,Yes,1.72,Yes,Yes,Cable,7.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,93.25,6688.95,0.0,0,123.84,6812.79
Male,60,Yes,0,0,35,Offer C,Yes,5.06,Yes,Yes,Cable,20.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,69.15,2490.15,0.0,0,177.1,2667.25
Female,67,Yes,0,1,50,Offer B,Yes,31.56,Yes,Yes,Fiber Optic,4.0,No,Yes,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,95.05,4888.7,0.0,50,1578.0,6516.7
Male,77,Yes,1,6,35,Offer C,Yes,14.19,No,Yes,DSL,17.0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,76.05,2747.2,0.0,0,496.65,3243.85
Female,33,No,0,0,38,Offer C,Yes,41.63,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,20.05,741.5,0.0,0,1581.94,2323.44
Female,61,No,0,0,34,Offer C,Yes,4.66,No,Yes,Fiber Optic,21.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,70.0,2416.1,11.0,0,158.44,2563.54
Male,53,Yes,3,3,72,Offer A,Yes,20.42,Yes,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,24.3,1643.25,0.0,0,1470.24,3113.49
Female,71,No,0,0,63,Offer B,Yes,15.62,Yes,Yes,DSL,18.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal,83.0,5243.05,0.0,0,984.06,6227.11
Male,29,No,0,0,21,Offer D,No,0.0,No Phone Service,Yes,DSL,26.0,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,43.55,1011.5,0.0,0,0.0,1011.5
Male,41,Yes,0,7,70,Offer A,Yes,24.93,No,Yes,DSL,15.0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,No,Credit Card,67.95,4664.15,0.0,0,1745.1,6409.25
Male,70,No,0,0,51,Offer B,Yes,19.49,Yes,Yes,Fiber Optic,11.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,97.8,4913.3,0.0,0,993.99,5907.29
Male,76,Yes,2,5,71,Offer A,Yes,30.16,No,Yes,Fiber Optic,19.0,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,86.7,6179.35,0.0,0,2141.36,8320.71
Female,40,No,0,0,34,Offer C,Yes,5.32,No,Yes,DSL,23.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,79.95,2727.3,0.0,0,180.88,2908.18
Male,50,Yes,2,1,22,Offer D,Yes,38.82,No,Yes,Fiber Optic,19.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.0,1573.95,0.0,0,854.04,2427.99
Male,38,Yes,2,1,3,Offer E,Yes,33.3,No,Yes,Fiber Optic,12.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,89.85,248.4,0.0,0,99.9,348.3
Male,75,No,0,0,10,Offer D,Yes,7.51,No,Yes,Fiber Optic,18.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.25,793.55,0.0,0,75.1,868.65
Female,21,No,0,0,68,Offer A,Yes,14.86,No,Yes,Cable,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,82.45,5646.6,0.0,90,1010.48,6747.08
Female,28,No,0,0,70,Offer A,Yes,17.32,Yes,Yes,Fiber Optic,30.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,113.65,7939.25,0.0,0,1212.4,9151.65
Female,47,No,0,0,22,Offer D,Yes,5.28,Yes,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,26.25,605.9,0.0,0,116.16,722.06
Female,62,No,0,0,17,Offer D,Yes,44.96,Yes,Yes,Fiber Optic,29.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,80.05,1345.65,0.0,0,764.32,2109.97
Male,30,No,0,0,1,Offer E,Yes,28.7,No,Yes,Fiber Optic,69.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.65,69.65,0.0,0,28.7,98.35
Male,20,No,0,0,22,Offer D,Yes,43.78,Yes,Yes,DSL,47.0,Yes,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,65.05,1427.55,0.0,10,963.16,2400.71
Female,52,No,0,0,36,Offer C,Yes,28.41,Yes,Yes,Fiber Optic,4.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,104.8,3886.45,0.0,0,1022.76,4909.21
Male,19,Yes,0,1,72,Offer A,Yes,21.72,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,20.7,1492.1,0.0,0,1563.84,3055.94
Female,34,No,0,0,21,Offer D,No,0.0,No Phone Service,Yes,DSL,4.0,Yes,No,No,Yes,No,No,No,Yes,Two Year,No,Credit Card,35.1,770.4,0.0,0,0.0,770.4
Female,42,No,0,0,56,Offer B,Yes,2.5,Yes,Yes,Fiber Optic,3.0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.45,5916.95,0.0,0,140.0,6056.95
Male,73,Yes,0,4,72,Offer A,Yes,33.68,Yes,Yes,DSL,10.0,No,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,77.35,5396.25,0.0,0,2424.96,7821.21
Female,41,No,0,0,1,Offer E,Yes,31.68,No,Yes,Fiber Optic,22.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,90.6,90.6,0.0,0,31.68,122.28
Male,40,No,0,0,8,Offer E,Yes,25.72,No,Yes,Cable,24.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,66.25,546.45,0.0,0,205.76,752.21
Female,64,Yes,1,1,53,Offer B,Yes,28.36,Yes,Yes,Fiber Optic,17.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,104.05,5566.4,0.0,0,1503.08,7069.48
Female,21,Yes,0,6,32,Offer C,Yes,19.3,No,Yes,Fiber Optic,47.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,2324.7,0.0,0,617.6,2942.3
Female,51,No,0,0,6,Offer E,Yes,21.91,No,Yes,DSL,12.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.8,288.05,0.0,0,131.46,419.51
Male,77,No,0,0,32,Offer C,Yes,1.12,Yes,Yes,Fiber Optic,5.0,No,No,Yes,No,No,No,No,Yes,One Year,Yes,Credit Card,81.1,2619.25,19.25,0,35.84,2635.84
Female,68,Yes,0,2,32,Offer C,Yes,2.17,Yes,Yes,Fiber Optic,11.0,No,No,Yes,No,No,No,No,Yes,Two Year,No,Mailed Check,79.3,2570.0,0.0,0,69.44,2639.44
Female,19,No,0,0,51,Offer B,Yes,43.79,Yes,Yes,Fiber Optic,82.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,111.5,5703.25,0.0,0,2233.29,7936.54
Female,23,No,1,0,10,Offer D,Yes,14.24,Yes,Yes,Cable,26.0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,One Year,No,Credit Card,73.55,693.3,0.0,0,142.4,835.7
Female,56,Yes,1,4,30,Offer C,Yes,36.74,No,Yes,Cable,18.0,No,No,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,64.5,1985.15,0.0,0,1102.2,3087.35
Male,44,Yes,3,7,12,Offer D,Yes,4.71,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,19.7,258.35,0.0,0,56.52,314.87
Male,42,Yes,0,5,72,Offer A,Yes,13.59,Yes,Yes,DSL,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,No,Credit Card,92.3,6719.9,0.0,0,978.48,7698.38
Male,19,No,0,0,69,Offer A,Yes,42.49,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Credit Card,19.1,1268.85,0.0,0,2931.81,4200.66
Male,45,No,0,0,1,Offer E,Yes,11.25,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,20.2,20.2,0.0,0,11.25,31.45
Female,40,Yes,2,7,54,Offer B,Yes,4.33,Yes,Yes,DSL,12.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,86.2,4524.05,0.0,0,233.82,4757.87
Male,59,No,0,0,1,Offer E,Yes,7.99,Yes,Yes,Fiber Optic,30.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.3,93.3,0.0,0,7.99,101.29
Male,19,Yes,0,9,67,Offer A,Yes,3.28,Yes,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,24.85,1583.5,0.0,0,219.76,1803.26
Female,58,No,0,0,3,Offer E,Yes,29.51,No,Yes,Cable,17.0,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,69.95,220.45,0.0,30,88.53,338.98
Male,32,Yes,0,8,47,Offer B,Yes,39.52,Yes,Yes,Fiber Optic,30.0,No,Yes,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,78.9,3650.35,0.0,0,1857.44,5507.79
Male,25,No,3,0,23,Offer D,Yes,1.58,No,Yes,DSL,47.0,No,Yes,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,55.3,1284.2,0.0,0,36.34,1320.54
Female,35,Yes,1,5,72,Offer A,Yes,32.59,Yes,Yes,DSL,14.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,79.5,5661.7,0.0,0,2346.48,8008.18
Male,38,No,0,0,12,Offer D,Yes,13.88,Yes,Yes,Fiber Optic,8.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,94.55,1173.55,0.0,0,166.56,1340.11
Male,23,Yes,9,1,21,Offer D,No,0.0,No Phone Service,Yes,DSL,59.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,26.05,565.75,0.0,0,0.0,565.75
Female,36,Yes,0,1,2,Offer E,No,0.0,No Phone Service,Yes,DSL,12.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,35.1,68.75,0.0,10,0.0,78.75
Male,40,Yes,0,2,2,Offer E,Yes,15.14,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Mailed Check,19.85,35.9,0.0,0,30.28,66.18
Female,40,Yes,3,3,5,Offer E,No,0.0,No Phone Service,Yes,DSL,53.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,25.05,125.5,0.0,0,0.0,125.5
Male,62,Yes,0,1,3,Offer E,No,0.0,No Phone Service,Yes,DSL,4.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,29.8,94.4,0.0,0,0.0,94.4
Male,26,No,0,0,58,Offer B,Yes,47.47,No,Yes,DSL,69.0,No,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,No,Bank Withdrawal,70.1,4048.95,0.0,0,2753.26,6802.21
Male,50,Yes,3,5,35,Offer C,Yes,1.53,No,Yes,Fiber Optic,57.0,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,89.7,3165.6,0.0,0,53.55,3219.15
Female,47,No,0,0,2,Offer E,Yes,21.3,Yes,Yes,DSL,7.0,No,Yes,No,No,No,No,No,No,Month-to-Month,No,Credit Card,54.15,101.65,0.0,10,42.6,154.25
Male,60,No,0,0,31,Offer C,Yes,1.53,No,Yes,DSL,6.0,No,No,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,55.25,1715.65,0.0,10,47.43,1773.08
Male,39,Yes,1,9,71,Offer A,Yes,18.99,Yes,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,23.9,1626.4,0.0,0,1348.29,2974.69
Female,37,No,0,0,8,Offer E,Yes,8.73,Yes,Yes,DSL,28.0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,65.5,573.15,0.0,0,69.84,642.99
Female,69,No,0,0,2,Offer E,Yes,43.96,Yes,Yes,Fiber Optic,14.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.55,149.55,0.0,0,87.92,237.47
Male,73,No,0,0,33,Offer C,Yes,3.15,Yes,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Bank Withdrawal,24.9,847.8,0.0,0,103.95,951.75
Male,29,No,3,0,1,Offer E,Yes,7.14,No,Yes,DSL,52.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,44.4,44.4,0.0,0,7.14,51.54
Female,28,No,0,0,3,Offer E,Yes,46.6,No,Yes,Fiber Optic,76.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,244.65,0.0,0,139.8,384.45
Female,26,No,0,0,2,Offer E,Yes,21.28,No,Yes,Cable,26.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,49.6,114.7,0.0,0,42.56,157.26
Female,25,Yes,2,9,3,Offer E,Yes,11.47,No,Yes,DSL,51.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,58.7,168.6,0.0,0,34.41,203.01
Male,38,Yes,3,9,68,Offer A,Yes,38.75,No,Yes,Fiber Optic,28.0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,99.55,6668.0,0.0,0,2635.0,9303.0
Female,21,Yes,0,9,70,Offer A,Yes,16.66,Yes,Yes,Fiber Optic,26.0,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,97.65,6982.5,0.0,80,1166.2,8228.7
Male,41,Yes,1,0,54,Offer B,No,0.0,No Phone Service,Yes,DSL,19.0,No,No,Yes,Yes,No,Yes,Yes,No,Two Year,No,Credit Card,46.0,2424.05,0.0,90,0.0,2514.05
Female,19,Yes,2,10,41,Offer B,Yes,1.6,Yes,Yes,Fiber Optic,59.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,3893.6,0.0,0,65.6,3959.2
Male,26,Yes,2,6,38,Offer C,Yes,17.52,Yes,Yes,DSL,59.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.4,3297.0,0.0,0,665.76,3962.76
Female,68,Yes,0,1,3,Offer E,Yes,25.77,No,Yes,Fiber Optic,2.0,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,88.3,273.75,0.0,0,77.31,351.06
Female,64,No,0,0,33,Offer C,Yes,42.29,No,Yes,Fiber Optic,13.0,No,Yes,No,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,79.95,2684.85,0.0,0,1395.57,4080.42
Female,32,Yes,0,0,57,Offer B,Yes,12.19,Yes,Yes,Fiber Optic,16.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,5497.05,0.0,0,694.83,6191.88
Male,48,Yes,0,10,42,Offer B,No,0.0,No Phone Service,Yes,Cable,8.0,Yes,No,Yes,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,48.15,2032.3,0.0,0,0.0,2032.3
Female,73,Yes,0,1,26,Offer C,Yes,9.28,Yes,Yes,Fiber Optic,26.0,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,2381.55,0.0,0,241.28,2622.83
Male,34,No,0,0,13,Offer D,Yes,7.33,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Bank Withdrawal,19.95,253.8,0.0,0,95.29,349.09
Female,58,Yes,0,3,48,Offer B,Yes,1.02,No,Yes,Fiber Optic,2.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,100.05,4834.0,37.45,0,48.96,4845.51
Male,62,No,0,0,25,Offer C,Yes,5.57,Yes,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Withdrawal,25.3,676.35,0.0,0,139.25,815.6
Male,33,Yes,0,1,23,Offer D,Yes,19.2,Yes,Yes,Fiber Optic,7.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,99.25,2186.4,0.0,0,441.6,2628.0
Female,30,Yes,0,5,68,Offer A,Yes,28.36,Yes,Yes,Fiber Optic,82.0,No,No,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,89.95,5974.3,0.0,0,1928.48,7902.78
Female,77,Yes,2,1,32,Offer C,Yes,49.21,Yes,Yes,Fiber Optic,19.0,No,Yes,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,100.4,3217.65,0.0,0,1574.72,4792.37
Male,19,No,0,0,9,Offer E,Yes,38.65,No,Yes,DSL,26.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.4,348.15,0.0,0,347.85,696.0
Female,62,No,0,0,53,Offer B,Yes,10.32,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Mailed Check,18.7,1005.7,0.0,0,546.96,1552.66
Female,46,No,0,0,7,Offer E,Yes,40.42,Yes,Yes,Cable,17.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,53.65,404.35,0.0,0,282.94,687.29
Male,36,No,0,0,26,Offer C,Yes,44.11,No,Yes,DSL,8.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,49.15,1237.3,0.0,0,1146.86,2384.16
Male,41,Yes,0,10,18,Offer D,Yes,45.92,No,Yes,DSL,17.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,44.35,768.05,0.0,0,826.56,1594.61
Female,38,Yes,2,1,70,Offer A,Yes,48.44,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,19.8,1378.75,0.0,0,3390.8,4769.55
Male,68,No,0,0,35,Offer C,Yes,39.69,Yes,Yes,Fiber Optic,25.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,101.4,3496.3,0.0,0,1389.15,4885.45
Female,74,No,0,0,45,Offer B,Yes,34.12,Yes,Yes,Fiber Optic,15.0,No,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,102.15,4735.35,0.0,0,1535.4,6270.75
Male,48,Yes,0,2,61,Offer B,Yes,11.53,Yes,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,25.45,1538.6,0.0,0,703.33,2241.93
Male,40,No,0,0,29,Offer C,Yes,49.52,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Credit Card,19.1,529.5,0.0,0,1436.08,1965.58
Male,46,No,0,0,29,Offer C,No,0.0,No Phone Service,Yes,DSL,8.0,Yes,No,No,Yes,No,No,No,Yes,One Year,No,Mailed Check,35.6,1072.6,0.0,0,0.0,1072.6
Male,47,No,0,0,26,Offer C,Yes,3.26,No,Yes,DSL,6.0,No,No,No,Yes,Yes,No,No,Yes,One Year,No,Credit Card,59.45,1507.0,0.0,0,84.76,1591.76
Male,22,No,0,0,26,Offer C,No,0.0,No Phone Service,Yes,Cable,82.0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,54.55,1362.85,0.0,0,0.0,1362.85
Male,53,Yes,3,9,9,Offer E,Yes,2.68,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Mailed Check,19.6,197.4,0.0,0,24.12,221.52
Female,48,Yes,0,1,12,Offer D,Yes,19.48,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,19.0,233.55,0.0,0,233.76,467.31
Male,48,Yes,0,1,68,Offer A,Yes,23.67,Yes,Yes,Fiber Optic,22.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,113.15,7856.0,0.0,0,1609.56,9465.56
Male,49,Yes,4,8,2,Offer E,Yes,42.55,No,Yes,DSL,53.0,Yes,Yes,No,Yes,No,No,No,Yes,Two Year,No,Mailed Check,59.5,130.5,0.0,0,85.1,215.6
Female,19,Yes,0,1,3,Offer E,Yes,44.46,No,Yes,DSL,51.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Credit Card,44.3,134.5,0.0,0,133.38,267.88
Female,50,No,0,0,13,Offer D,Yes,21.36,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Credit Card,19.3,279.3,0.0,0,277.68,556.98
Male,47,No,0,0,43,Offer B,Yes,49.13,Yes,Yes,Fiber Optic,25.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,77.85,3365.85,0.0,0,2112.59,5478.44
Male,45,No,2,0,21,Offer D,Yes,27.6,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,19.6,397.0,0.0,0,579.6,976.6
Female,73,No,0,0,1,Offer E,Yes,22.5,No,Yes,Fiber Optic,27.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.95,69.95,0.0,10,22.5,102.45
Female,42,No,0,0,1,Offer E,Yes,20.11,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,19.5,19.5,0.0,0,20.11,39.61
Male,34,Yes,0,1,19,Offer D,Yes,28.04,Yes,Yes,Fiber Optic,22.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,103.3,2012.7,0.0,0,532.76,2545.46
Female,33,Yes,2,0,71,Offer A,Yes,4.15,Yes,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,25.45,1813.35,0.0,0,294.65,2108.0
Female,60,No,0,0,21,Offer D,Yes,30.59,No,Yes,Fiber Optic,11.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.65,1493.2,0.0,0,642.39,2135.59
Male,25,Yes,1,2,70,Offer A,Yes,35.9,Yes,Yes,Cable,59.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,78.35,5445.95,0.0,0,2513.0,7958.95
Male,75,No,0,0,21,Offer D,Yes,24.91,Yes,Yes,Fiber Optic,17.0,No,Yes,Yes,No,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,104.35,2271.85,0.0,130,523.11,2924.96
Female,20,Yes,0,10,61,Offer B,Yes,20.09,Yes,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Mailed Check,24.4,1417.9,0.0,0,1225.49,2643.39
Female,51,No,0,0,28,Offer C,Yes,44.11,No,Yes,Cable,15.0,Yes,Yes,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,56.05,1522.65,0.0,110,1235.08,2867.73
Male,51,Yes,0,8,65,Offer B,Yes,41.57,Yes,Yes,DSL,16.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,84.2,5324.5,0.0,0,2702.05,8026.55
Female,51,Yes,1,5,13,Offer D,Yes,19.63,No,Yes,DSL,12.0,Yes,No,No,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,54.15,701.05,0.0,0,255.19,956.24
Female,42,No,0,0,45,Offer B,Yes,13.82,Yes,Yes,Fiber Optic,8.0,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,89.3,4192.15,0.0,0,621.9,4814.05
Male,38,Yes,0,2,2,Offer E,Yes,4.41,No,Yes,DSL,26.0,No,Yes,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,64.2,143.65,0.0,30,8.82,182.47
Female,33,Yes,0,3,17,Offer D,Yes,1.64,No,No,No Internet,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Mailed Check,19.35,307.0,10.57,0,27.88,324.31
Male,65,No,0,0,15,Offer D,Yes,29.11,No,Yes,Fiber Optic,29.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0.0,0,436.65,1510.95
